CountryName,CountryCode,Year,Total Population,Urban population (% of total)
OECD members,OED,1970,890374533.0,67.4459336354031
Other small states,OSS,1970,8139804.0,20.3791451886311
Pacific island small states,PSS,1970,1145542.0,26.089083436486806
Small states,SST,1970,14167929.0,25.6256932771191
South Asia,SAS,1970,713115397.0,18.6569274027679
Sub-Saharan Africa (all income levels),SSF,1970,291897883.0,18.031137311917398
Sub-Saharan Africa (developing only),SSA,1970,291553378.0,18.0183668160449
Upper middle income,UMC,1970,1282526767.0,27.8964088956741
World,WLD,1970,3684822701.0,36.5278776725921
Afghanistan,AFG,1970,11121097.0,11.529000000000002
Albania,ALB,1970,2135479.0,31.74
Algeria,DZA,1970,14550033.0,39.5
American Samoa,ASM,1970,27292.0,70.384
Andorra,ADO,1970,24279.0,80.155
Angola,AGO,1970,6300969.0,14.957
Antigua and Barbuda,ATG,1970,65369.0,33.819
Argentina,ARG,1970,23973062.0,78.88
Armenia,ARM,1970,2518408.0,59.864
Aruba,ABW,1970,59065.0,50.623999999999995
Australia,AUS,1970,12507000.0,85.265
Austria,AUT,1970,7467086.0,65.258
Azerbaijan,AZE,1970,5178160.0,50.008
"Bahamas, The",BHS,1970,169356.0,66.764
Bahrain,BHR,1970,213102.0,83.775
Bangladesh,BGD,1970,65048701.0,7.593
Barbados,BRB,1970,238847.0,37.539
Belarus,BLR,1970,9040000.0,44.01
Belgium,BEL,1970,9655549.0,93.84299999999999
Belize,BLZ,1970,122179.0,50.963
Benin,BEN,1970,2907769.0,16.691
Bermuda,BMU,1970,55000.0,100.0
Bhutan,BTN,1970,291457.0,6.0889999999999995
Bolivia,BOL,1970,4505774.0,39.775999999999996
Bosnia and Herzegovina,BIH,1970,3745637.0,27.201
Botswana,BWA,1970,693021.0,7.834
Brazil,BRA,1970,95982453.0,55.909
Brunei Darussalam,BRN,1970,129729.0,61.675
Bulgaria,BGR,1970,8489574.0,52.3
Burkina Faso,BFA,1970,5624597.0,5.746
Burundi,BDI,1970,3457113.0,2.845
Cabo Verde,CPV,1970,270197.0,19.559
Cambodia,KHM,1970,7022185.0,15.97
Cameroon,CMR,1970,6770967.0,20.3
Canada,CAN,1970,21324000.0,75.654
Cayman Islands,CYM,1970,9144.0,100.0
Central African Republic,CAF,1970,1828710.0,27.491999999999997
Chad,TCD,1970,3644911.0,11.568
Channel Islands,CHI,1970,121196.0,36.088
Chile,CHL,1970,9561868.0,75.227
China,CHN,1970,818315000.0,17.4
Colombia,COL,1970,22061214.0,54.82
Comoros,COM,1970,228443.0,19.39
"Congo, Dem. Rep.",ZAR,1970,20009902.0,24.608
"Congo, Rep.",COG,1970,1335090.0,39.129
Costa Rica,CRI,1970,1848873.0,38.827
Cote d'Ivoire,CIV,1970,5241914.0,28.163
Croatia,HRV,1970,4411000.0,40.196
Cuba,CUB,1970,8715123.0,60.266000000000005
Curacao,CUW,1970,144739.0,78.44800000000001
Cyprus,CYP,1970,613619.0,40.760999999999996
Czech Republic,CZE,1970,9858071.0,64.402
Denmark,DNK,1970,4928757.0,79.737
Djibouti,DJI,1970,159667.0,61.777
Dominica,DMA,1970,71076.0,38.683
Dominican Republic,DOM,1970,4503114.0,40.209
Ecuador,ECU,1970,6072520.0,39.278
"Egypt, Arab Rep.",EGY,1970,34808599.0,41.477
El Salvador,SLV,1970,3668592.0,39.402
Equatorial Guinea,GNQ,1970,290905.0,26.954
Eritrea,ERI,1970,1805480.0,12.593
Estonia,EST,1970,1360076.0,64.947
Ethiopia,ETH,1970,28414999.0,8.588
Faeroe Islands,FRO,1970,38587.0,27.951
Fiji,FJI,1970,520529.0,34.758
Finland,FIN,1970,4606307.0,63.70399999999999
France,FRA,1970,52035095.0,71.055
French Polynesia,PYF,1970,110496.0,55.162
Gabon,GAB,1970,590119.0,32.0
"Gambia, The",GMB,1970,447283.0,19.496
Georgia,GEO,1970,3967800.0,48.006
Germany,DEU,1970,78169289.0,72.274
Ghana,GHA,1970,8596977.0,28.958000000000002
Greece,GRC,1970,8792806.0,64.22
Greenland,GRL,1970,46400.0,72.744
Grenada,GRD,1970,94430.0,32.211999999999996
Guam,GUM,1970,83880.0,61.92
Guatemala,GTM,1970,5423384.0,35.545
Guinea,GIN,1970,4215442.0,15.977
Guinea-Bissau,GNB,1970,711828.0,15.132
Guyana,GUY,1970,695561.0,29.425
Haiti,HTI,1970,4708639.0,19.762
Honduras,HND,1970,2691309.0,28.901999999999997
"Hong Kong SAR, China",HKG,1970,3959000.0,87.729
Hungary,HUN,1970,10337910.0,60.111999999999995
Iceland,ISL,1970,204438.0,84.9
India,IND,1970,553943226.0,19.76
Indonesia,IDN,1970,114834781.0,17.070999999999998
"Iran, Islamic Rep.",IRN,1970,28514011.0,41.211999999999996
Iraq,IRQ,1970,9917982.0,56.153999999999996
Ireland,IRL,1970,2957250.0,51.722
Isle of Man,IMY,1970,56712.0,55.831
Israel,ISR,1970,2974000.0,84.195
Italy,ITA,1970,53821850.0,64.27199999999999
Jamaica,JAM,1970,1869000.0,41.324
Japan,JPN,1970,104345000.0,71.877
Jordan,JOR,1970,1508000.0,55.971000000000004
Kazakhstan,KAZ,1970,12757245.0,50.236000000000004
Kenya,KEN,1970,11252466.0,10.295
Kiribati,KIR,1970,51181.0,24.088
"Korea, Dem. Rep.",PRK,1970,14410400.0,54.2
"Korea, Rep.",KOR,1970,32240827.0,40.704
Kuwait,KWT,1970,750184.0,85.661
Kyrgyz Republic,KGZ,1970,2959900.0,37.466
Lao PDR,LAO,1970,2686025.0,9.625
Latvia,LVA,1970,2359164.0,60.713
Lebanon,LBN,1970,2297403.0,59.475
Lesotho,LSO,1970,1032240.0,8.607999999999999
Liberia,LBR,1970,1419728.0,26.025
Libya,LBY,1970,2114264.0,49.67100000000001
Liechtenstein,LIE,1970,21266.0,18.453
Lithuania,LTU,1970,3139689.0,49.555
Luxembourg,LUX,1970,339171.0,74.374
"Macao SAR, China",MAC,1970,250997.0,97.03200000000001
"Macedonia, FYR",MKD,1970,1720798.0,47.07899999999999
Madagascar,MDG,1970,6576301.0,14.1
Malawi,MWI,1970,4603739.0,6.053
